fixture,repeat,profile,origin,runStatus,failureClass,claimText,articleRole,articleUse,assertionSource,materiality,scope,relatedPillarLabels,sourceUnitIds,groundingText,verificationTarget,disputedProposition,stipulatedByArticle,whyThisTarget,supportCriteria,refuteCriteria,qualifyCriteria,mustMatch,rejectIfOnly_model,rejectIfOnly_host,sourceStrategy_emitted,sourceStrategy_resolved,searchConcepts,relevantNamedWorkIds,cautions,packageValid
CF1-F03,3,Profile V,model,completed,,The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines they produced.,pillar,endorsed,article,high,U.S. childhood vaccines,The 1986 National Childhood Vaccine Injury Act has led to a lack of accountability for vaccine manufacturers.,U0070,"[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",substantive,The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines they produced.,The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines they produced.,The dispute is whether the act indeed absolved drug companies of all liability.,Legal analyses confirming that the 1986 act removed liability for vaccine manufacturers.,Evidence showing that vaccine manufacturers retain some liability under the 1986 act.,Clarification that the act only applies to certain types of claims or injuries.,Access to legal texts or interpretations of the 1986 National Childhood Vaccine Injury Act. | Scope of U.S. childhood vaccines.,Repetition of the claim without legal verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood va",official_record,official_record,1986 National Childhood Vaccine Injury Act | vaccine manufacturer liability | legal implications of vaccine laws,NW001,,true
CF1-F03,3,Profile V,model,completed,,The CDC conducted a study in 2000 that found infants exposed to high levels of thimerosal during their first month of life had a 7.6 times higher risk of autism diagnosis than their unexposed peers.,pillar_support,reported,CDC study,high,infants exposed to thimerosal,"There are significant concerns about the safety of vaccine ingredients, particularly aluminum and mercury.",U0329,[U0329] The findings were so alarming—infants exposed to high levels of thimerosal during their first month of life had 7.6 times higher risk of autism diagnosis than their unexposed peers—that a secret emergency meeting was convened.,substantive,Infants exposed to high levels of thimerosal during their first month of life had a 7.6 times higher risk of autism diagnosis than their unexposed peers.,The CDC conducted a study in 2000 that found infants exposed to high levels of thimerosal during their first month of life had a 7.6 times higher risk of autism diagnosis than their unexposed peers.,The dispute is whether the findings of the CDC study are valid and replicable.,Independent studies confirming the association between thimerosal exposure and autism risk.,Evidence showing no significant difference in autism rates between exposed and unexposed infants.,Data indicating that the risk ratio is lower than 7.6 or that the study had methodological flaws.,Access to the original CDC study data or independent replication studies. | Population of infants exposed to thimerosal.,Repetition of the CDC's findings without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Infants exposed to high levels of thimerosal during their first month of life had a 7.6 times higher risk",independent_corroboration,independent_corroboration,thimerosal autism risk | CDC study thimerosal | infants thimerosal exposure,,,true
CF1-F03,3,Profile V,model,completed,,The CDC has classified thimerosal-containing vaccines as toxic hazardous waste.,pillar_support,endorsed,EPA,high,thimerosal-containing vaccines,"There are significant concerns about the safety of vaccine ingredients, particularly aluminum and mercury.",U0241 | U0301 | U0367 | U0368 | U0370,"[U0241] THE FACTS / ALUMINUM:
[U0301] “[Thimerosal] is toxic… Mutagenic in mammalian cells.“
[U0367] The claim by health agencies that injected ethylmercury is benign becomes even more inconceivable in light of the fact that the EPA classifies the thimerosal in vaccines as toxic hazardous waste .
[U0368] The limit for mercury in drinking water is set at 200 parts per billion per the EPA’s Toxicity Characteristic Leaching Procedure (TCLP).
[U0370] Thimerosal as a Vaccine Preservative , a summary prepared in 2025 for the CDC’s Advisory Committee for Immunization Practices (ACIP), notes that “thimerosal-containing vaccines exceed the TCLP threshold by orders of magnitude and are classified as D009 Hazardous Waste.”",substantive,Thimerosal-containing vaccines are classified as toxic hazardous waste by the EPA.,The CDC has classified thimerosal-containing vaccines as toxic hazardous waste.,The dispute is whether the classification by the EPA is accurate and applicable to thimerosal in vaccines.,EPA documentation confirming the classification of thimerosal as hazardous waste.,Evidence showing that thimerosal does not meet the criteria for hazardous waste classification.,Clarification that the classification applies only under specific conditions or concentrations.,Access to EPA classification documents regarding thimerosal. | Scope of thimerosal-containing vaccines.,Repetition of the claim without EPA verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Thimerosal-containing vaccines are classified as toxic hazardous waste by the EPA.",official_record,official_record,thimerosal hazardous waste | EPA classification thimerosal | toxic waste regulations,,,true
CF1-F03,3,Profile V,model,completed,,The CDC has never safety tested the cumulative aluminum load received in multiple vaccine shots given to infants.,pillar_support,endorsed,article,high,infants receiving multiple vaccines,"There are significant concerns about the safety of vaccine ingredients, particularly aluminum and mercury.",U0279,[U0279] The CDC has NEVER safety tested this cumulative load received in multiple shots.,substantive,The CDC has never safety tested the cumulative aluminum load received in multiple vaccine shots given to infants.,The CDC has never safety tested the cumulative aluminum load received in multiple vaccine shots given to infants.,The dispute is whether the CDC has conducted any safety testing on aluminum in vaccines.,Documentation from the CDC confirming the lack of safety testing for cumulative aluminum exposure.,Evidence showing that the CDC has conducted safety tests on aluminum loads in vaccines.,Data indicating that some testing has been done but not on cumulative loads.,Access to CDC safety testing protocols and records regarding aluminum in vaccines. | Scope of infants receiving multiple vaccines.,Repetition of the claim without CDC verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The CDC has never safety tested the cumulative aluminum load received in multiple vaccine shots given to ",official_record,official_record,CDC aluminum safety testing | cumulative aluminum vaccines | vaccine safety protocols,,,true
CF1-F03,3,Profile V,model,completed,,The article claims that the CDC has manipulated data to disprove links between vaccines and autism.,pillar_support,endorsed,article,high,CDC vaccine studies,Public health claims about vaccines lack credible evidence.,U0001 | U0021 | U0027 | U0034 | U0041 | U0400,"[U0001] Public Health’s “Truth” About Vaccines
PART 1
by Ana Wolpin | Apr 12, 2026 | General | 33 comments
[U0021] • Parents who do not vaccinate. Parents who choose to forego vaccines, he says, are not only highly educated, but “often scientifically literate. Many are medical professionals. Leading scientists.” He quotes vaccine promoter Emily Brunson, PhD, who acknowledges: “When you look at hesitancy in the U.S., the group who is most likely to purposefully choose to not vaccinate are highly educated. In speaking with them, these are people who have read the primary literature themselves, and they’re correctly interpreting it.”
[U0027] As this article will show, the claims made in our health department’s ad repeat medical dogma that has persisted for decades with no basis in reality.
[U0034] Or are they so entrenched in their fervent belief in the vaccine narrative that they cannot consider information that disproves the gospel?
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.
[U0400] Are there “no credible studies that link vaccination to chronic disease” ?",substantive,The CDC has manipulated data to disprove links between vaccines and autism.,The article claims that the CDC has manipulated data to disprove links between vaccines and autism.,The dispute is whether there is credible evidence of data manipulation by the CDC.,Independent investigations confirming data manipulation by the CDC.,Evidence showing that the CDC's data handling was transparent and accurate.,"Data indicating that while there may be concerns, no definitive manipulation has been proven.",Access to CDC data handling records or independent investigation results. | Scope of CDC vaccine studies.,Repetition of the claim without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The CDC has manipulated data to disprove links between vaccines and autism.",independent_corroboration,independent_corroboration,CDC data manipulation | vaccines autism links | investigations CDC,,,true
CF1-F03,3,Profile V,model,completed,,The sudden infant death syndrome (SIDS) became the leading cause of post-neonatal mortality in the U.S. after the introduction of national vaccination programs.,pillar_support,endorsed,Neil Z. Miller,medium,U.S. infant mortality rates,"There are significant concerns about the safety of vaccine ingredients, particularly aluminum and mercury.",U0190,[U0190] “Vaccines and sudden infant death: An analysis of the VAERS database 1990–2019 and review of the medical literature”,substantive,The sudden infant death syndrome (SIDS) became the leading cause of post-neonatal mortality in the U.S. after the introduction of national vaccination programs.,The sudden infant death syndrome (SIDS) became the leading cause of post-neonatal mortality in the U.S. after the introduction of national vaccination programs.,The dispute is whether there is a causal link between vaccination programs and the rise in SIDS.,Statistical analyses showing a correlation between vaccination rates and SIDS rates.,Evidence showing no correlation or a decrease in SIDS rates following vaccination programs.,Data indicating that SIDS rates vary independently of vaccination rates.,Access to historical infant mortality statistics and vaccination program data. | Scope of U.S. infant mortality rates.,Repetition of the claim without statistical verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The sudden infant death syndrome (SIDS) became the leading cause of post-neonatal mortality in the U.S. a",independent_corroboration,independent_corroboration,SIDS post-neonatal mortality | vaccination programs SIDS | infant mortality statistics,,,true
CF1-F03,3,Profile V,model,completed,,The article claims that the narrative surrounding vaccines is a 'wishful fairy tale' and 'dangerous disinformation.',pillar_support,endorsed,article,medium,public health narratives about vaccines,Public health claims about vaccines lack credible evidence.,U0028,[U0028] At best the narrative is a wishful fairy tale.,substantive,The narrative surrounding vaccines is a 'wishful fairy tale' and 'dangerous disinformation.',The article claims that the narrative surrounding vaccines is a 'wishful fairy tale' and 'dangerous disinformation.',The dispute is whether the characterization of the vaccine narrative is accurate.,Independent analyses supporting the claim that the vaccine narrative is misleading.,Evidence showing that the vaccine narrative is based on sound scientific principles.,"Data indicating that while there are criticisms, the narrative has some valid points.",Access to analyses of public health messaging regarding vaccines. | Scope of public health narratives about vaccines.,Repetition of the claim without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The narrative surrounding vaccines is a 'wishful fairy tale' and 'dangerous disinformation.'",independent_corroboration,independent_corroboration,vaccine narrative analysis | public health messaging | misinformation vaccines,,,true
CF1-F03,4,Profile V,model,completed,,"According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",pillar_support,reported,CDC,high,American school children and toddlers,Public health claims about vaccines are misleading. | Vaccine safety and efficacy are questioned.,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",substantive,"Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.","According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",The real dispute concerns whether the vaccination rates reported by the CDC are accurate.,Independent studies corroborate CDC vaccination statistics showing similar rates of unvaccinated children.,Evidence shows that a higher percentage of American school children are fully vaccinated than reported by the CDC.,Data indicates that the vaccination rates vary significantly by region or demographic.,Access to CDC vaccination data or independent vaccination surveys in the U.S. | Population of American school children and toddlers.,Repetition of the CDC's statement without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely u",independent_corroboration,independent_corroboration,CDC vaccination statistics | American school children vaccination rates | toddler vaccination rates,,,true
CF1-F03,4,Profile V,model,completed,,"William Thompson, a senior CDC scientist, revealed that data linking the MMR vaccine to autism was manipulated by the CDC.",pillar_support,reported,William Thompson,high,CDC's handling of MMR vaccine data,Public health claims about vaccines are misleading. | Censorship and suppression of vaccine criticism.,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",substantive,Data linking the MMR vaccine to autism was manipulated by the CDC.,"William Thompson, a senior CDC scientist, revealed that data linking the MMR vaccine to autism was manipulated by the CDC.",The real dispute concerns the truth of the manipulation claim regarding the MMR vaccine data.,Independent investigations confirm that data related to the MMR vaccine and autism was altered.,Evidence shows that the data linking the MMR vaccine to autism was not manipulated.,"Findings indicate that while data was reviewed, no manipulation occurred.",Access to original CDC data and records related to the MMR vaccine study. | Expertise in vaccine safety research.,Repetition of Thompson's claims without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Data linking the MMR vaccine to autism was manipulated by the CDC.",independent_corroboration,independent_corroboration,MMR vaccine autism data manipulation | William Thompson whistleblower | CDC vaccine data integrity,,,true
CF1-F03,4,Profile V,model,completed,,The health department's ad claims that children face more challenges to their immune system while playing outside than from vaccines.,pillar_support,reported,Jefferson County Public Health,high,children's immune system challenges,Public health claims about vaccines are misleading.,U0005 | U0008,"[U0005] “What’s the Truth about Vaccines?” asked Jefferson County Public Health (JCPH) in a quarter-page ad in the March 11 Port Townsend Leader. The hand-drawn, whimsical cartoon-style presentation and the ad’s content offered a light-hearted attempt to ease parents’ concerns about vaccinating their children.
[U0008] • “Our kids face more challenges to their immune system while playing outside than they do from vaccines.”",substantive,Children face more challenges to their immune system while playing outside than from vaccines.,The health department's ad claims that children face more challenges to their immune system while playing outside than from vaccines.,The real dispute concerns whether the challenges to children's immune systems from outdoor play are greater than those posed by vaccines.,Research shows that outdoor play poses significant health risks to children's immune systems.,Evidence indicates that vaccines pose greater risks to children's immune systems than outdoor play.,Studies show that the risks from outdoor play are context-dependent and vary by environment.,Access to studies comparing immune challenges from outdoor play and vaccines. | Population of children in various play environments.,Repetition of the health department's ad without independent evidence.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Children face more challenges to their immune system while playing outside than from vaccines.",independent_corroboration,independent_corroboration,children immune system challenges | outdoor play vs vaccines | public health ad claims,,,true
CF1-F03,4,Profile V,model,completed,,"There have been no credible studies linking vaccination to chronic disease, according to the health department's ad.",pillar_support,reported,Jefferson County Public Health,high,vaccination and chronic disease,Public health claims about vaccines are misleading. | Vaccine safety and efficacy are questioned.,U0011,"[U0011] • “So far, there have been no credible studies that link vaccination to chronic disease.”",substantive,There have been credible studies linking vaccination to chronic disease.,"According to the health department's ad, there have been no credible studies linking vaccination to chronic disease.",The real dispute concerns whether credible studies exist that link vaccination to chronic disease.,Independent studies demonstrate a credible link between vaccination and chronic disease.,Evidence shows that no credible studies exist linking vaccination to chronic disease.,Studies indicate a correlation but do not establish causation between vaccination and chronic disease.,Access to credible research studies on vaccination and chronic disease. | Population studied in relation to vaccination.,Repetition of the health department's claim without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: There have been credible studies linking vaccination to chronic disease.",independent_corroboration,independent_corroboration,vaccination chronic disease studies | credible research vaccination | public health claims,,,true
CF1-F03,4,Profile V,model,completed,,The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines they produced.,pillar_support,reported,U.S. Congress,high,liability for childhood vaccines,Public health claims about vaccines are misleading. | Vaccine safety and efficacy are questioned.,U0070,"[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",substantive,The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines they produced.,The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines they produced.,The real dispute concerns whether the Act indeed removed all liability from drug companies.,Legal analysis confirms that the Act removed liability for vaccine manufacturers.,Evidence shows that some liability remains for vaccine manufacturers under the Act.,Legal interpretations indicate that liability is limited but not entirely removed.,Access to the text of the National Childhood Vaccine Injury Act and legal interpretations. | Expertise in vaccine liability law.,Repetition of the Act's provisions without independent legal analysis.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood va",official_record,named_work_result,National Childhood Vaccine Injury Act liability | vaccine manufacturer liability | legal analysis vaccine law,NW001,,true
CF1-F03,4,Profile V,model,completed,,An analysis of U.S. data from 1990-2010 showed that infants who received the most vaccines had the worst hospitalization and death rates.,pillar_support,reported,U.S. data analysis,high,infants' hospitalization and death rates,Vaccine safety and efficacy are questioned.,U0091,[U0091] An analysis of two decades of U.S. data (1990-2010) showed that infants who received the most vaccines had the worst hospitalization and death rates.,substantive,Infants who received the most vaccines had the worst hospitalization and death rates.,An analysis of U.S. data from 1990-2010 showed that infants who received the most vaccines had the worst hospitalization and death rates.,The real dispute concerns whether the analysis accurately reflects the relationship between vaccination and hospitalization/death rates.,Independent analyses confirm the correlation between high vaccination rates and increased hospitalization and death rates.,Evidence shows that higher vaccination rates correlate with lower hospitalization and death rates.,Data indicates that the correlation is influenced by other health factors.,Access to the U.S. health data from 1990-2010 used in the analysis. | Population of infants studied.,Repetition of the analysis without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Infants who received the most vaccines had the worst hospitalization and death rates.",independent_corroboration,independent_corroboration,vaccination hospitalization death rates | U.S. health data analysis | infant health statistics,,,true
CF1-F03,4,Profile V,model,completed,,"The CDC has stated that thimerosal in vaccines does not cause harm, despite evidence suggesting it is neurotoxic.",pillar_support,reported,CDC,high,thimerosal in vaccines,Public health claims about vaccines are misleading. | Vaccine safety and efficacy are questioned.,U0308 | U0356,"[U0308] Mercury is the third most toxic element on earth, 500 times more poisonous than lead.
[U0356] The CDC’s mantra “Mercury in Vaccines does NOT Cause Autism” persisted on their website and in other information they disseminated… at the same time announcing that mercury would be removed from childhood vaccines.",substantive,"Thimerosal in vaccines causes harm, despite CDC's claims that it does not.","The CDC has stated that thimerosal in vaccines does not cause harm, despite evidence suggesting it is neurotoxic.",The real dispute concerns whether thimerosal is indeed harmful despite CDC assurances.,Independent studies show that thimerosal is neurotoxic and poses health risks.,Evidence supports the CDC's claim that thimerosal does not cause harm.,Studies indicate potential risks but do not conclusively prove harm from thimerosal.,Access to studies on thimerosal's effects and CDC statements. | Expertise in toxicology and vaccine safety.,Repetition of CDC's statement without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Thimerosal in vaccines causes harm, despite CDC's claims that it does not.",independent_corroboration,independent_corroboration,thimerosal vaccine safety | neurotoxic effects thimerosal | CDC thimerosal claims,,,true
CF1-F03,4,Profile V,model,completed,,Thimerosal-containing vaccines exceed the EPA's threshold for hazardous waste.,pillar_support,reported,EPA,high,thimerosal in vaccines,Public health claims about vaccines are misleading. | Vaccine safety and efficacy are questioned.,U0370,"[U0370] Thimerosal as a Vaccine Preservative , a summary prepared in 2025 for the CDC’s Advisory Committee for Immunization Practices (ACIP), notes that “thimerosal-containing vaccines exceed the TCLP threshold by orders of magnitude and are classified as D009 Hazardous Waste.”",substantive,Thimerosal-containing vaccines exceed the EPA's threshold for hazardous waste.,Thimerosal-containing vaccines exceed the EPA's threshold for hazardous waste.,The real dispute concerns whether thimerosal in vaccines is classified as hazardous waste according to EPA standards.,Independent assessments confirm that thimerosal in vaccines exceeds EPA hazardous waste thresholds.,Evidence shows that thimerosal in vaccines does not exceed EPA hazardous waste thresholds.,"Findings indicate that while thimerosal levels are high, they do not meet all criteria for hazardous classification.",Access to EPA hazardous waste regulations and thimerosal content data. | Expertise in environmental health and safety.,Repetition of the EPA's classification without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Thimerosal-containing vaccines exceed the EPA's threshold for hazardous waste.",official_record,official_record,thimerosal hazardous waste EPA | vaccine safety regulations | EPA thresholds thimerosal,,,true
CF1-F03,5,Profile V,model,completed,,"According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",pillar,reported,CDC,high,American school children and toddlers,Public health claims about vaccines are misleading. | Vaccine safety and efficacy are questioned.,U0002,"[U0002] “According to the CDC and public health authorities, parents who choose not to vaccinate their children are typically highly educated. CDC data reflect that half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated. Why would the parents of these children, comprising a large part of the nation’s brain trust, choose not to vaccinate their children?”",substantive,"Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.","According to the CDC, half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely unvaccinated.",The dispute concerns the accuracy of the vaccination statistics reported by the CDC.,Independent verification of CDC vaccination statistics showing that half of American school children are not fully vaccinated. | Independent verification of CDC vaccination statistics showing that at least 1 in 88 toddlers are completely unvaccinated.,Evidence showing that more than half of American school children are fully vaccinated. | Evidence showing that fewer than 1 in 88 toddlers are completely unvaccinated.,Evidence indicating a different percentage of unvaccinated children or toddlers than reported by the CDC.,Access to CDC vaccination data or independent health statistics on vaccination rates among American school children and toddlers.,Repetition of the CDC's statement without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Half of American school children are not fully vaccinated, and at least 1 in 88 toddlers are completely u",independent_corroboration,independent_corroboration,CDC vaccination statistics | American school children vaccination rates | toddler vaccination rates,,,true
CF1-F03,5,Profile V,model,completed,,"The CDC manipulated data linking the MMR vaccine to autism, according to whistleblower William Thompson.",pillar_support,reported,William Thompson,high,MMR vaccine and autism data manipulation,Censorship and suppression of vaccine criticism.,U0037 | U0041,"[U0037] Senior CDC scientist turned whistleblower William Thompson revealed privately in 2014 that data linking the MMR vaccine (measles/mumps/rubella) to autism had been manipulated by the agency ten years earlier.
[U0041] The fraudulent, re-worked study was then released to declare that it had proven MMR vaccines did not cause autism.",substantive,The CDC manipulated data linking the MMR vaccine to autism.,"According to whistleblower William Thompson, the CDC manipulated data linking the MMR vaccine to autism.",The dispute concerns whether the CDC actually manipulated the data as claimed by Thompson.,Independent corroboration of William Thompson's claims regarding data manipulation by the CDC. | Documentation or evidence from credible sources confirming the manipulation of MMR vaccine data.,Evidence showing that the CDC did not manipulate data linking the MMR vaccine to autism.,Evidence indicating that the manipulation was less extensive than claimed or that the data was not definitively linked to autism.,Access to CDC data records or independent analysis of the MMR vaccine data in question.,Repetition of Thompson's claims without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The CDC manipulated data linking the MMR vaccine to autism.",independent_corroboration,independent_corroboration,CDC MMR vaccine data manipulation | William Thompson whistleblower claims | MMR vaccine autism data,,,true
CF1-F03,5,Profile V,model,completed,,The health department's ad claims that children face more challenges to their immune system while playing outside than from vaccines.,pillar,reported,Jefferson County Public Health,high,children's immune system challenges,Public health claims about vaccines are misleading.,U0005 | U0184,"[U0005] “What’s the Truth about Vaccines?” asked Jefferson County Public Health (JCPH) in a quarter-page ad in the March 11 Port Townsend Leader. The hand-drawn, whimsical cartoon-style presentation and the ad’s content offered a light-hearted attempt to ease parents’ concerns about vaccinating their children.
[U0184] The truth is, a child’s immune system can handle a lot!",substantive,Children face more challenges to their immune system while playing outside than from vaccines.,The health department's ad claims that children face more challenges to their immune system while playing outside than from vaccines.,The dispute concerns the validity of the health department's claim regarding immune system challenges.,Independent studies comparing immune challenges from outdoor play versus vaccination. | Evidence supporting the claim that outdoor play poses more challenges to children's immune systems than vaccines.,Evidence showing that vaccines pose more challenges to children's immune systems than outdoor play.,Evidence indicating that the challenges to the immune system are comparable or that the claim is context-dependent.,Access to studies or data comparing immune challenges from outdoor play and vaccination.,Repetition of the health department's claim without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Children face more challenges to their immune system while playing outside than from vaccines.",independent_corroboration,independent_corroboration,immune system challenges outdoor play | vaccination immune system effects | children immune system challenges,,,true
CF1-F03,5,Profile V,model,completed,,"There have been no credible studies linking vaccination to chronic disease, according to the health department's ad.",pillar,reported,Jefferson County Public Health,high,vaccination and chronic disease correlation,Vaccine safety and efficacy are questioned.,U0011,"[U0011] • “So far, there have been no credible studies that link vaccination to chronic disease.”",substantive,There have been credible studies linking vaccination to chronic disease.,"According to the health department's ad, there have been no credible studies linking vaccination to chronic disease.",The dispute concerns whether credible studies exist that link vaccination to chronic disease.,Evidence of credible studies that demonstrate a link between vaccination and chronic disease. | Independent reviews or meta-analyses confirming the existence of such studies.,Evidence showing that no credible studies exist linking vaccination to chronic disease.,Evidence indicating that any studies linking vaccination to chronic disease are methodologically flawed or inconclusive.,Access to credible studies or reviews on the relationship between vaccination and chronic disease.,Repetition of the health department's claim without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: There have been credible studies linking vaccination to chronic disease.",independent_corroboration,independent_corroboration,vaccination chronic disease studies | credible studies vaccination effects | vaccination health outcomes,,,true
CF1-F03,5,Profile V,model,completed,,The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines they produced.,pillar_support,reported,U.S. Congress,high,liability for childhood vaccines,Vaccine safety and efficacy are questioned.,U0068 | U0070,"[U0068] The first shock for anyone just beginning this research was learning about the 1986 National Childhood Vaccine Injury Act.
[U0070] Bowing to the pressure, in 1986 Congress removed all liability from drug companies for childhood vaccines they produced.",substantive,The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines they produced.,The article states that the 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood vaccines they produced.,The dispute concerns the accuracy of the claim regarding liability removal by the Act.,Verification of the text and provisions of the 1986 National Childhood Vaccine Injury Act regarding liability. | Independent legal analysis confirming that the Act removed liability from drug companies.,Evidence showing that the Act did not remove all liability from drug companies for childhood vaccines.,Evidence indicating that some liability remains or that the Act has been amended.,Access to the full text of the 1986 National Childhood Vaccine Injury Act and legal interpretations.,Repetition of the article's statement without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: The 1986 National Childhood Vaccine Injury Act removed all liability from drug companies for childhood va",official_record,named_work_result,National Childhood Vaccine Injury Act liability | vaccine liability laws | 1986 vaccine injury act,NW001,,true
CF1-F03,5,Profile V,model,completed,,An analysis of U.S. data showed that infants who received the most vaccines had the worst hospitalization and death rates.,pillar_support,reported,U.S. data analysis,high,infants' hospitalization and death rates,Vaccine safety and efficacy are questioned.,U0091,[U0091] An analysis of two decades of U.S. data (1990-2010) showed that infants who received the most vaccines had the worst hospitalization and death rates.,substantive,Infants who received the most vaccines had the worst hospitalization and death rates.,An analysis of U.S. data showed that infants who received the most vaccines had the worst hospitalization and death rates.,The dispute concerns the accuracy of the analysis regarding hospitalization and death rates.,Independent verification of the analysis showing a correlation between the number of vaccines and hospitalization/death rates in infants. | Evidence from other studies supporting the claim that more vaccines correlate with worse health outcomes.,Evidence showing that infants who received the most vaccines do not have worse hospitalization and death rates.,Evidence indicating that the correlation is weak or that other factors contribute to hospitalization and death rates.,Access to the U.S. data analysis and relevant health statistics.,Repetition of the analysis without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Infants who received the most vaccines had the worst hospitalization and death rates.",independent_corroboration,independent_corroboration,infant hospitalization death rates vaccines | vaccination health outcomes | U.S. health statistics infants,,,true
CF1-F03,5,Profile V,model,completed,,"Thimerosal, a mercury-based preservative used in vaccines, is toxic and has been linked to neurological damage.",pillar_support,reported,Material Safety Data Sheet,high,thimerosal in vaccines,Vaccine safety and efficacy are questioned.,U0308 | U0310,"[U0308] Mercury is the third most toxic element on earth, 500 times more poisonous than lead.
[U0310] Contrary to our health department’s claim, it is highly neurotoxic — dangerous enough to cause “decreased offspring survival” as Eli Lilly was required by law to disclose in its Material Safety Data Sheet for thimerosal.",substantive,Thimerosal is toxic and has been linked to neurological damage.,"Thimerosal, a mercury-based preservative used in vaccines, is toxic and has been linked to neurological damage.",The dispute concerns the validity of the claims regarding thimerosal's toxicity and its effects.,Independent toxicology reports confirming thimerosal's toxicity and its link to neurological damage. | Evidence from credible studies linking thimerosal exposure to neurological outcomes.,Evidence showing that thimerosal is not toxic or does not cause neurological damage.,Evidence indicating that the link between thimerosal and neurological damage is not causal or is context-dependent.,Access to toxicology data and studies on thimerosal.,Repetition of the claim about thimerosal without independent verification.,"A source only repeats or reports the statement the article already stipulates, without independent evidence about: Thimerosal is toxic and has been linked to neurological damage.",independent_corroboration,independent_corroboration,thimerosal toxicity | thimerosal neurological damage | mercury vaccine preservative effects,,,true
